Protocol,Packet_Length,Duration,Bytes_Sent,Bytes_Received,Flow_Packets/s,Flow_Bytes/s,Avg_Packet_Size,Total_Fwd_Packets,Total_Bwd_Packets,Fwd_Header_Length,Bwd_Header_Length,Sub_Flow_Fwd_Bytes,Sub_Flow_Bwd_Bytes,Inbound,Attack_Type,Label
TCP,1583,3.07,497,488,32.4,401,1024,23,29,256,512,1772,1529,1,Brute Force,1
ICMP,1054,4.76,455,1405,31.8,1623.6,512,37,48,128,512,501,690,1,Brute Force,1
ICMP,685,4.55,1480,1524,12.8,740.5,256,18,14,512,256,1173,608,1,Ransomware,0
TCP,1458,2.49,1985,285,13.7,907.8,1024,38,24,128,256,179,1686,1,Normal,1
ICMP,161,4.28,1610,295,13.6,578.1,256,35,22,512,256,1190,2014,0,DDoS,0
ICMP,931,1.23,1080,1627,32,1142.1,256,25,21,128,256,823,1095,1,Normal,1
ICMP,1447,4.75,676,367,29.6,1684.2,256,31,22,256,128,2039,930,1,Normal,0
TCP,2004,3.27,720,1056,16.4,1729,512,40,45,512,256,829,1451,1,Brute Force,0
TCP,1368,2.46,602,855,17.3,503.8,1024,10,31,512,128,1850,1244,0,Normal,1
ICMP,288,3.27,806,1472,29.3,725.4,256,23,41,256,256,1050,1417,1,Brute Force,1
TCP,1868,3.43,1192,1307,18.7,200.1,64,44,21,512,128,367,954,1,Brute Force,0
ICMP,111,0.33,1578,560,19.5,664.7,256,30,46,128,256,257,1345,0,Brute Force,0
ICMP,1233,0.16,1631,203,39.3,1203,1024,38,39,256,512,1570,700,1,Ransomware,0
TCP,731,2.38,430,258,20.8,134.4,512,14,28,256,512,1374,474,1,DDoS,1
TCP,1721,1.01,1939,1527,17.6,377.6,512,25,49,512,256,823,150,0,Ransomware,0
TCP,1979,1.76,1665,1755,15.2,1229.8,256,27,44,512,512,1231,1790,1,Ransomware,0
TCP,1275,0.6,158,1381,33.6,1265.7,1024,42,45,256,256,358,1978,0,Ransomware,1
TCP,675,4.61,701,371,33.3,1347.7,64,44,44,128,256,651,1614,1,Normal,1
TCP,1360,4.51,327,129,33.3,1975.5,256,40,49,256,256,1243,558,1,Brute Force,0
TCP,1305,0.7,291,1502,38,1932.4,64,23,46,512,128,1918,1645,0,DDoS,0
TCP,823,1.3,927,676,35.9,472.2,1024,20,19,128,128,1001,1011,1,DDoS,1
TCP,1777,3.07,1494,1304,38,556.2,64,29,21,256,128,1356,973,0,Ransomware,0
TCP,969,1.42,763,1360,26.8,1481.4,1024,33,16,256,128,144,1690,1,DDoS,0
TCP,2020,3.19,881,1649,28.5,630.1,64,33,20,128,128,1360,987,0,Normal,1
TCP,1677,2.31,998,840,36.6,149.6,1024,29,41,256,128,1068,155,1,DDoS,0
TCP,1509,2.5,1628,1241,16.2,1956.5,64,13,15,512,128,1201,1296,1,Normal,0
TCP,1714,1.67,942,1738,28.2,618.8,64,10,21,128,512,346,1857,1,DDoS,1
TCP,1351,2.43,1341,164,25.4,343,512,11,15,512,512,616,885,0,Normal,1
TCP,1423,2.2,1165,1781,24.3,406.6,512,48,20,512,256,943,573,0,Normal,0
TCP,1998,0.65,597,1555,30.1,235.2,512,40,13,128,256,856,1862,0,Normal,0
TCP,1875,2.98,1074,269,10.3,1383.9,1024,11,25,512,512,1438,953,1,DDoS,1
TCP,1377,3.22,1327,2040,25.6,1590.7,64,44,46,256,512,977,289,0,DDoS,1
TCP,1546,0.81,115,809,16.3,1136,512,37,43,256,128,1612,1782,1,DDoS,1
TCP,216,2.73,472,479,25.2,1964.6,256,39,33,128,128,1759,270,0,DDoS,1
TCP,1501,1.66,640,338,12.8,1648.9,64,30,11,256,128,1216,1185,1,DDoS,0
